JobseekerID,VacancyID,Rating
20473,30356,4
22762,43396,1
10466,34808,4
10466,36153,2
10466,38808,3
10466,33811,4
10466,25023,4
10466,46131,5
10466,38183,1
10466,31567,1
10466,35983,1
10466,45516,2
10466,34743,4
10466,28764,1
10978,44088,5
10978,48362,1
10978,25506,4
10978,33348,4
15303,31080,2
15303,27268,4
19653,29737,4
19653,25899,2
19653,33246,2
19653,43590,5
19653,45107,3
19653,29231,4
19653,43627,3
19653,32890,5
19653,49171,2
19653,34033,3
19653,32627,3
19653,25306,4
10201,48655,3
10201,31791,3
15237,34778,5
15237,40293,1
15237,46395,2
14696,49455,4
14696,32112,5
15745,37114,5
15745,39641,3
15745,26172,2
22114,44465,4
22114,27711,2
22114,30353,4
22114,39955,4
22114,34232,4
22114,27340,3
22114,27132,1
22114,37875,4
22114,35408,1
11856,48655,3
11856,31791,1
17178,49455,5
17178,32112,2
13770,31482,2
13770,39906,4
13770,30974,2
13770,27612,3
13770,43219,2
13770,48805,1
13770,27201,4
13770,26410,4
13770,25981,4
13770,38575,4
13770,41829,4
13770,35884,4
16222,34155,4
15277,39354,5
19019,34778,4
19019,40293,1
19019,46395,4
15969,37114,4
15969,39641,2
15969,26172,5
14659,49455,5
14659,32112,1
10531,44036,2
10531,30961,3
10531,37018,1
10531,49215,4
10531,33869,2
10531,40679,4
10531,30556,3
10531,31303,4
10531,27889,2
10531,37683,1
10531,31125,2
15284,36151,2
15284,28211,4
15284,39096,4
21949,37114,1
21949,39641,5
21949,26172,2
19294,25709,1
19294,35073,1
19294,36404,5
11100,39069,2
11100,31366,5
11100,32311,4
11100,32127,4
11100,37710,5
11100,42119,4
11100,45452,1
11100,40802,4
11100,40283,5
11100,42948,1
11100,27350,1
11100,38792,4
19365,38211,3
13671,36071,5
13671,44707,4
13671,26389,4
13671,40044,1
13671,48452,4
13671,28624,5
13671,27035,5
13671,26618,5
13671,48434,4
13671,46816,5
13671,30359,4
13671,27805,5
14542,29771,4
14542,49290,2
14542,34107,2
14542,49984,2
14542,34946,5
14542,37905,1
14542,34344,5
14542,46409,4
14542,40856,4
14542,30588,4
14542,35647,4
14542,47146,4
14962,31129,3
14962,37609,5
14962,36089,1
14962,48142,1
14962,47746,4
14962,36968,5
14962,43691,4
14962,28386,1
14962,37058,4
14962,33738,1
14962,34472,4
14962,48810,2
13029,49442,3
13029,34552,4
13029,46906,1
13029,31449,3
13029,27439,3
13029,49003,4
13029,32371,5
13029,40190,3
13029,34616,1
13029,26275,5
13029,33711,4
13029,32548,2
14758,30787,3
14758,46137,2
14758,46061,5
14758,32940,1
14758,36843,4
